Company_ref,Company_name,Contact_id,Address_1,Address_2,Town,Postcode,Telephone
100,Haunt Services,112,53 Finger Gate,NULL,Dartford,DA48 5WU,01001722832
101,Genus Ltd.,33,34 Pyorrhea Green,NULL,Guildford,GY34 4ZH,01004256920
102,Corps Ltd.,111,67 Napery Green,NULL,Harrow,HA32 6PP,01012384042
103,Train Services,115,30 Crizzel Parkway,NULL,Hemel Hempstead,HP38 6DU,01012979358
104,Somebody Logistics,127,93 Calculated Oval,NULL,Hull,HX16 1IF,01013707879
105,Immemorial Shipping,103,38 Bull Circle,NULL,Harrow,HA38 4QQ,01018421989
106,Mock Group,125,85 Civic Green,NULL,Isle of Man,IV23 6XJ,01022482900
107,Juan and Co.,113,68 Quicky Green,NULL,Reading,RG17 9KQ,01030703414
108,Logis Shipping,4,47 Invader Gardens,NULL,Warrington,WA42 4XU,01032611339
109,Packman Shipping,142,75 Speech Causeway,NULL,Belfast,AB20 7GW,01038105677
110,Jesting Services,104,12 Faults Highlands,NULL,Lancaster,KY12 2LW,01061248265
111,Medusa Shipping,114,71 Contradict Grade,NULL,Colchester,CO47 2TH,01064625959
112,Cell Group,45,48 Donut Rise,NULL,Portsmouth,PO35 5DD,01075188464
113,Tetraneuris Shipping,86,47 Judge Green,NULL,Derby,DE15 2FY,01076912545
114,Hydrophobic Inc.,47,86 Old Avenue,NULL,Jersey,JE26 5IF,01100989120
115,Whale Shipping,17,88 Demotic Row,NULL,Newport,NE41 6ZY,01106754312
116,Corncob Shipping,123,97 Triumvir Grade,NULL,Liverpool,L07 5TQ,01112575119
117,Confusion Services,32,93 Meristically Mount,NULL,Fylde Coast,FY04 2ZW,01133455062
118,Parade and Co.,148,89 Quicky Way,NULL,Zetland,ZE12 6VN,01152353680
119,Crepusculous Inc.,57,11 Away Drive,NULL,Exeter,EX34 5AZ,01157516706
120,Variform Traders,16,100 Poetize Dell,NULL,Tonbridge,TN49 4YR,01162621897
121,Sprightlier Logistics,128,16 Basso Hill,NULL,Blackburn,BB40 4PK,01167376116
122,Snowless Traders,60,99 Ting Oval,NULL,Telford,TF47 5BS,01174403286
123,Hamming Services,34,32 Fish Passage,NULL,Bolton,BB22 5CH,01181877930
124,Pharyngeal Services,105,55 Away Circle,NULL,North London,NE19 2VM,01184718264
125,Nightshade Group,49,67 Portrait Place,NULL,Bolton,BB48 2DE,01184937755
126,Oxbridge Shipping,97,21 Intent Passage,NULL,Falkirk,FK06 9BA,01187899790
127,Sylvite Group,14,73 Shift Avenue,NULL,Norwich,NR24 8RL,01189708942
128,Pitiable Shipping,35,61 Pitiable Street,NULL,Lancaster,KY13 5CU,01193980854
129,Jesting and Co.,3,48 Keynote Avenue,NULL,Dumfries & Galloway,DY06 2SS,01201368693
130,Affright Retail,55,18 Redingote Dell,NULL,Tonbridge,TN46 7JF,01208830667
131,Gimmick Inc.,73,85 Motherly Mount,NULL,Motherwell,ML24 5YV,01211392468
132,Fawe Group,12,64 Oryx Manor,NULL,Llandudno,LS07 8HM,01214251676
133,Bai Services,31,3 Wish Canyon,NULL,Motherwell,ML01 7GD,01214717135
134,Cupulate Ltd.,2,46 Desert Dell,NULL,Llandudno,LS28 5BG,01215101189
135,Dasher Services,58,62 Fatback Hill,NULL,Canterbury,BT28 8AE,01215210671
136,Askew Shipping,72,71 Creature Grade,NULL,Croydon,CR28 9WA,01221993420
137,Take Group,15,45 Prejudicial Square,NULL,Warrington,WA17 9RW,01222475899
138,Miraculously Shipping,96,45 Winter Causeway,NULL,Canterbury,BT21 8JE,01224961986
139,Stoker Traders,129,101 Peridiastole Pathway,NULL,Canterbury,BT30 1RQ,01239424132
140,Lady Retail,59,4 Oryx Trail,NULL,Oldham,OL27 5AK,01239513404
141,Guttata Shipping,102,80 Flop Road,NULL,Falkirk,FK33 9SM,01248008671
142,Diaphonic Shipping,10,93 Rajab Vale,NULL,Shrewsbury,S03 8IT,01250487837
143,Rajab Group,13,96 Prejudicial Garth,NULL,Norwich,NR11 5YY,01251104649
144,Snowless Logistics,51,85 Shun Drive,NULL,Derby,DE19 3UT,01291288810
145,Comfiture Traders,85,23 Talaria Hill,NULL,Telford,TF17 7CW,01291585639
146,High and Co.,46,93 Choicely Circle,NULL,Llandrindod Wells,LD29 3DO,01294771012
147,Shaped Logistics,126,34 Confusion Mews,NULL,Plymouth,PL14 1FY,01297122202
148,Desert Inc.,124,85 Rajab Trail,NULL,Derby,DE46 7IX,01297608632
149,Askew Inc.,56,37 Unmediated Parkway,NULL,Walsall,UB20 5SQ,01299818072
