c_no,comp_date,c_title,c_in
1,1975-06-17,Opus 1,1
2,1976-07-21,Here Goes,2
3,1981-12-14,Valiant Knight,3
4,1982-01-12,Little Piece,4
5,1985-03-13,Simple Song,5
6,1986-04-14,Little Swing Song,6
7,1987-05-13,Fast Journey,7
8,1976-02-14,Simple Love Song,8
9,1982-01-21,Complex Rythms,9
10,1985-02-23,Drumming Rythms,9
11,1978-03-18,Fast Drumming,8
12,1984-08-13,Slow Song,7
13,1968-09-14,Blue Roses,6
14,1983-11-15,Velvet Rain,5
15,1982-05-16,Cold Wind,4
16,1983-06-18,After the Wind Blows,3
17,NULL,A Simple Piece,2
18,1985-01-12,Long Rythms,1
19,1988-02-12,Eastern Wind,1
20,NULL,Slow Symphony Blowing,2
21,1990-07-12,A Last Song,6
