yr,firstName,lastName,constituency,party,votes
2015,Aaron,DAVID,W07000073,Trade Unionist and Socialist Coalition,118
2015,Aba,KRISTILOLU,E14000995,All People's Party,31
2015,Abdul,MALIK,E14000599,Liberal Democrats,2689
2015,Abi,JACKSON,E14000747,Green,1110
2015,Abideen,AKINOSHUN,E14000718,Green,2991
2015,Abigail,CAMPBELL,E14000660,Labour,9491
2015,Ace,NNOROM,E14001008,UKIP,1385
2015,Adam,AFRIYIE,E14001042,Conservative,31797
2015,Adam,BOYDEN,E14000774,Liberal Democrats,1827
2015,Adam,CLIFFORD,E14000639,Class War,59
2015,Adam,HEATHERINGTON,E14000795,UKIP,3375
2015,Adam,HOLLOWAY,E14000715,Conservative,23484
2015,Adam,LLOYD,W07000073,National Front,66
2015,Adam,MCGREGOR,E14000867,Green,2345
2015,Adam VAN,COEVORDEN,E14000630,Green,2689
2015,Adam,WALKER,E14000904,British National Party,225
2015,Ade,ADEYEMO,E14000812,Liberal Democrats,2638
2015,Adele,WARD,E14000703,Green,1357
2015,Adrian,BAILEY,E14001030,Labour and Co-operative,16578
2015,Adrian,BAKER,E14000744,UKIP,7534
2015,Adrian,CRUDEN,E14000666,Green,1366
2015,Adrian,FORD,E14000956,Liberal Democrats,2121
2015,Adrian,HEALD,E14000653,Labour,18825
2015,Adrian,HOLMES,E14000863,Green,1939
2015,Adrian,HOWARD,E14000802,UKIP,6037
2015,Adrian,HYYRYLAINEN-TRETT,E14001008,Liberal Democrats,3312
2015,Adrian,MAUDSLEY,E14000637,Independent,138
2015,Adrian,NOBLE,E14000629,UKIP,2039
2015,Adrian,OLIVER,E14000881,Green,2198
2015,Adrian,PAGE,E14000982,Liberal Democrats,1105
2015,Adrian,SANDERS,E14000999,Liberal Democrats,16265
2015,Adrian,WALKER-SMITH,E14000980,Liberal Democrats,2086
2015,Adrian,WINDISCH,E14001048,Green,2092
2015,Adrianne,SMYTH,E14000841,UKIP,8579
2015,Afzal,AKRAM,E14000675,UKIP,3922
2015,Afzal,ANWAR,E14000902,Liberal Democrats,806
2015,Aidan,CAMPBELL,E14000714,Green,1872
2015,Aidan,COTTRELL-BOYCE,E14001021,Green,1332
2015,Aidan,POWLESLAND,E14000731,UKIP,2333
2015,Aileen,CASEY,E14001020,UKIP,7321
2015,Aileen,MORTON,S14000059,Liberal Democrats,816
2015,Aisha,MIR,S14000045,Liberal Democrats,1132
2015,Al,MURRAY,E14000948,Independent,318
2015,Aladdin,AYESH,W07000076,Liberal Democrats,935
2015,Alan,ARMSTRONG,W07000078,Green,1054
2015,Alan,AVERY,E14000993,Labour,8089
2015,Alan,BEDDOW,E14000854,Liberal Democrats,978
2015,Alan,BORGARS,E14000739,Green,1660
2015,Alan,BROWN,S14000040,SNP,30000
2015,Alan,BULLION,E14000918,Liberal Democrats,3937
2015,Alan,BUTCHER,E14000576,Labour,6508
2015,Alan,CAMPBELL,E14001006,Labour,25791
2015,Alan,DAY,N06000010,UKIP,863
2015,Alan,DIMMICK,E14000932,UKIP,6439
2015,Alan,DOCHERTY,E14000658,Trade Unionist and Socialist Coalition,223
2015,Alan,DUNCAN,E14000909,Conservative,30383
2015,Alan,DUNLOP,N06000014,Conservative,415
2015,Alan,DURRANT,E14000713,Labour,6926
2015,Alan,ENGLAND,E14001028,English Democrats,309
2015,Alan,FRANCIS,E14000608,Green,7400
2015,Alan,GRAVES,E14000935,UKIP,8998
2015,Alan,GREY,E14000717,UKIP,10270
2015,Alan,HARRIS,E14000874,UKIP,3963
2015,Alan,HASELHURST,E14000910,Conservative,32926
2015,Alan,HAZELHURST,E14001009,UKIP,7862
2015,Alan,HENDERSON,E14000928,UKIP,7651
2015,Alan,HILLIAR,E14000530,Liberal Democrats,4076
2015,Alan,JOHNSON,E14000579,Green,1200
2015,Alan,JOHNSON,E14000773,Labour,15646
2015,Alan,LOVE,N06000009,UKIP,2200
2015,Alan,MAK,E14000736,Conservative,23159
2015,Alan,MEALE,E14000810,Labour,18603
2015,Alan,MELVILLE,S14000023,UKIP,847
2015,Alan,MENDOZA,E14000591,Conservative,9567
2015,Alan,MUNRO,E14000923,Trade Unionist and Socialist Coalition,238
2015,Alan,PIPER,E14001037,UKIP,3031
2015,Alan,REID,S14000005,Liberal Democrats,14486
2015,Alan,ROBINSON,E14000754,Green,1095
2015,Alan,STEVENS,E14000631,UKIP,7218
2015,Alan,STONE,E14000545,UKIP,8290
2015,Alan,WHITEHEAD,E14000956,Labour,18017
2015,Alasdair,HENDERSON,E14000555,The Whig Party,203
2015,Alasdair,HILL,E14000741,Liberal Democrats,1088
2015,Alasdair,IBBOTSON,W07000043,Green,976
2015,Alasdair,KEDDIE,E14000584,Green,3263
2015,Alasdair,MCDONNELL,N06000003,Social Democratic and Labour Party,9560
2015,Alasdair,MORRISON,S14000027,Labour,4560
2015,Alasdair,MURRAY,E14000873,Liberal Democrats,5453
2015,Alastair,GRAHAM,S14000009,Conservative,2326
2015,Alastair,MCQUILLAN,E14000909,Green,2325
2015,Alastair,REDMAN,S14000005,Conservative,7733
2015,Alastair,WHITELAW,S14000034,Green,1431
2015,Alban,MAGINNESS,N06000002,Social Democratic and Labour Party,3338
2015,Albert,DUFFEN,E14000563,UKIP,4651
2015,Albert,OWEN,W07000041,Labour,10871
2015,Alberto,COSTA,E14000940,Conservative,28700
2015,Alec,HEATH,E14000646,Green,1876
2015,Alec,SHELBROOKE,E14000689,Conservative,27978
2015,Aleks,LUKIC,E14000548,UKIP,9080
2015,Alex,ALLISON,S14000042,Conservative,8772
2015,Alex,ATTWOOD,N06000004,Social Democratic and Labour Party,3475
2015,Alex,BOULTER,E14000567,Conservative,13137
2015,Alex,BURGHART,E14000763,Conservative,8465
2015,Alex,CHALK,E14000630,Conservative,24790
2015,Alex,CUNNINGHAM,E14000970,Labour,19436
2015,Alex,DAVIDSON,E14000807,Trade Unionist and Socialist Coalition,270
2015,Alex,EASTON,N06000013,Democratic Unionist Party,8487
2015,Alex,FEAKES,E14000788,Liberal Democrats,3709
2015,Alex,JOHNSTONE,S14000007,Conservative,13148
2015,Alex,MEREDITH,E14001015,Liberal Democrats,7611
2015,Alex,PIERRE-TRAVES,E14000781,Conservative,7729
2015,Alex,ROBERTSON,E14000615,Cannabis is Safer than Alcohol Party,197
2015,Alex,SALMOND,S14000037,SNP,27717
2015,Alex,SOBEL,E14000780,Labour,13041
2015,Alex,STEWART-CLARK,S14000036,Conservative,3685
2015,Alex,STORY,E14000780,Conservative,8083
2015,Alex,WHITE,E14000623,Liberal Democrats,6643
2015,Alex,WILKS,E14000680,Labour,5220
2015,Alex,WILSON,N06000005,Conservative,549
2015,Alexander,BURNETT,S14000058,Conservative,15916
2015,Alexander,CRAIG,E14000592,UKIP,2024
2015,Alexander,CUNLIFFE,E14000690,Liberal Democrats,1308
2015,Alexander,JOHNSON,E14000831,Green,1724
2015,Alexander,KARRAN,E14000794,Independent,56
2015,Alexander,PAYTON,E14000857,Liberal Democrats,5151
2015,Alexander,REDPATH,N06000009,Ulster Unionist Party,6055
2015,Alexander,STEWART,S14000054,Conservative,17738
2015,Alexandra,SANDERSON,E14000629,Labour,9300
2015,Alfie,STIRLING,E14000786,Green,2784
2015,Alfred,OKAM,E14000620,Independent,126
2015,Ali,AKLAKUL,E14000893,Labour,6578
2015,Ali,MAJID,E14000972,Cannabis is Safer than Alcohol Party,244
2015,Alice,BRAMALL,E14000775,Conservative,3367
2015,Alice,MASON-POWER,E14000662,Green,1618
2015,Alick,MUNRO,E14000737,Green,794
