SPR_CODE,MOD_CODE,AYR_CODE,PSL_CODE,QUE_CODE,RES_VALU
50200036,CSN08101,2016/7,TR1,1,5
50200036,INF08104,2016/7,TR1,1,4
50200036,SET08115,2016/7,TR1,1,3
50201002,CSN08101,2016/7,TR1,1.1,5
50201002,CSN08101,2016/7,TR1,1.2,5
50201002,CSN08101,2016/7,TR1,1.3,2
50201002,CSN08101,2016/7,TR1,1.4,5
50201002,CSN08101,2016/7,TR1,1.5,2
50201002,CSN08101,2016/7,TR1,1.6,5
50201002,CSN08101,2016/7,TR1,1.7,5
50201002,CSN08101,2016/7,TR1,1.8,2
50201002,CSN08101,2016/7,TR1,1.9,2
50201002,CSN08101,2016/7,TR1,2.1,5
50201002,CSN08101,2016/7,TR1,2.2,5
50201002,CSN08101,2016/7,TR1,2.3,5
50201002,CSN08101,2016/7,TR1,2.4,4
50201002,CSN08101,2016/7,TR1,2.5,5
50201002,CSN08101,2016/7,TR1,3.1,4
50201002,CSN08101,2016/7,TR1,3.2,4
50201002,CSN08101,2016/7,TR1,3.3,5
50201002,CSN08101,2016/7,TR1,3.4,5
50201002,CSN08101,2016/7,TR1,4.1,2
50201002,INF08104,2016/7,TR1,1.1,4
50201002,INF08104,2016/7,TR1,1.2,4
50201002,INF08104,2016/7,TR1,1.3,5
50201002,INF08104,2016/7,TR1,1.4,4
50201002,INF08104,2016/7,TR1,1.5,5
50201002,INF08104,2016/7,TR1,1.6,5
50201002,INF08104,2016/7,TR1,1.7,5
50201002,INF08104,2016/7,TR1,1.8,5
50201002,INF08104,2016/7,TR1,1.9,5
50201002,INF08104,2016/7,TR1,2.1,5
50201002,INF08104,2016/7,TR1,2.2,5
50201002,INF08104,2016/7,TR1,2.3,5
50201002,INF08104,2016/7,TR1,2.4,4
50201002,INF08104,2016/7,TR1,2.5,5
50201002,INF08104,2016/7,TR1,3.1,5
50201002,INF08104,2016/7,TR1,3.2,4
50201002,INF08104,2016/7,TR1,3.3,5
50201002,INF08104,2016/7,TR1,3.4,5
50201002,INF08104,2016/7,TR1,4.1,5
50201002,SET08115,2016/7,TR1,1.1,5
50201002,SET08115,2016/7,TR1,1.2,2
50201002,SET08115,2016/7,TR1,1.3,5
50201002,SET08115,2016/7,TR1,1.4,5
50201002,SET08115,2016/7,TR1,1.5,2
50201002,SET08115,2016/7,TR1,1.6,4
50201002,SET08115,2016/7,TR1,1.7,5
50201002,SET08115,2016/7,TR1,1.8,5
50201002,SET08115,2016/7,TR1,1.9,5
50201002,SET08115,2016/7,TR1,2.1,5
50201002,SET08115,2016/7,TR1,2.2,2
50201002,SET08115,2016/7,TR1,2.3,5
50201002,SET08115,2016/7,TR1,2.4,5
50201002,SET08115,2016/7,TR1,2.5,5
50201002,SET08115,2016/7,TR1,3.1,5
50201002,SET08115,2016/7,TR1,3.2,5
50201002,SET08115,2016/7,TR1,3.3,2
50201002,SET08115,2016/7,TR1,3.4,5
50201002,SET08115,2016/7,TR1,4.1,5
50201137,CSN08101,2016/7,TR1,1.1,2
50201137,CSN08101,2016/7,TR1,1.2,5
50201137,CSN08101,2016/7,TR1,1.3,5
50201137,CSN08101,2016/7,TR1,1.4,5
50201137,CSN08101,2016/7,TR1,1.5,5
50201137,CSN08101,2016/7,TR1,1.6,2
50201137,CSN08101,2016/7,TR1,1.7,5
50201137,CSN08101,2016/7,TR1,1.8,5
50201137,CSN08101,2016/7,TR1,1.9,5
50201137,CSN08101,2016/7,TR1,2.1,2
50201137,CSN08101,2016/7,TR1,2.2,5
50201137,CSN08101,2016/7,TR1,2.3,4
50201137,CSN08101,2016/7,TR1,2.4,5
50201137,CSN08101,2016/7,TR1,2.5,5
50201137,CSN08101,2016/7,TR1,3.1,5
50201137,CSN08101,2016/7,TR1,3.2,2
50201137,CSN08101,2016/7,TR1,3.3,5
50201137,CSN08101,2016/7,TR1,3.4,5
50201137,CSN08101,2016/7,TR1,4.1,5
50201137,INF08104,2016/7,TR1,1.1,5
50201137,INF08104,2016/7,TR1,1.2,5
50201137,INF08104,2016/7,TR1,1.3,5
50201137,INF08104,2016/7,TR1,1.4,5
50201137,INF08104,2016/7,TR1,1.5,5
50201137,INF08104,2016/7,TR1,1.6,5
50201137,INF08104,2016/7,TR1,1.7,5
50201137,INF08104,2016/7,TR1,1.8,5
50201137,INF08104,2016/7,TR1,1.9,4
50201137,INF08104,2016/7,TR1,2.1,5
50201137,INF08104,2016/7,TR1,2.2,2
50201137,INF08104,2016/7,TR1,2.3,5
50201137,INF08104,2016/7,TR1,2.4,5
50201137,INF08104,2016/7,TR1,2.5,2
50201137,INF08104,2016/7,TR1,3.1,2
50201137,INF08104,2016/7,TR1,3.2,5
50201137,INF08104,2016/7,TR1,3.3,4
50201137,INF08104,2016/7,TR1,3.4,4
50201137,INF08104,2016/7,TR1,4.1,5
50201137,SET08108,2016/7,TR1,1.1,5
50201137,SET08108,2016/7,TR1,1.2,4
50201137,SET08108,2016/7,TR1,1.3,5
50201137,SET08108,2016/7,TR1,1.4,2
50201137,SET08108,2016/7,TR1,1.5,4
50201137,SET08108,2016/7,TR1,1.6,5
50201137,SET08108,2016/7,TR1,1.7,5
50201137,SET08108,2016/7,TR1,1.8,5
50201137,SET08108,2016/7,TR1,1.9,5
50201137,SET08108,2016/7,TR1,2.1,2
50201137,SET08108,2016/7,TR1,2.2,2
50201137,SET08108,2016/7,TR1,2.3,5
50201137,SET08108,2016/7,TR1,2.4,5
50201137,SET08108,2016/7,TR1,2.5,5
50201137,SET08108,2016/7,TR1,3.1,4
50201137,SET08108,2016/7,TR1,3.2,5
50201137,SET08108,2016/7,TR1,3.3,5
50201137,SET08108,2016/7,TR1,3.4,4
50201137,SET08108,2016/7,TR1,4.1,5
50201180,CSN08101,2016/7,TR1,1.1,5
50201180,CSN08101,2016/7,TR1,1.2,2
50201180,CSN08101,2016/7,TR1,1.3,5
50201180,CSN08101,2016/7,TR1,1.4,5
50201180,CSN08101,2016/7,TR1,1.5,4
50201180,CSN08101,2016/7,TR1,1.6,5
50201180,CSN08101,2016/7,TR1,1.7,5
50201180,CSN08101,2016/7,TR1,1.8,2
50201180,CSN08101,2016/7,TR1,1.9,5
50201180,CSN08101,2016/7,TR1,2.1,5
50201180,CSN08101,2016/7,TR1,2.2,5
50201180,CSN08101,2016/7,TR1,2.3,4
50201180,CSN08101,2016/7,TR1,2.4,5
50201180,CSN08101,2016/7,TR1,2.5,5
50201180,CSN08101,2016/7,TR1,3.1,5
50201180,CSN08101,2016/7,TR1,3.2,5
50201180,CSN08101,2016/7,TR1,3.3,5
50201180,CSN08101,2016/7,TR1,3.4,4
50201180,CSN08101,2016/7,TR1,4.1,5
50201180,INF08104,2016/7,TR1,1.1,2
50201180,INF08104,2016/7,TR1,1.2,5
50201180,INF08104,2016/7,TR1,1.3,4
50201180,INF08104,2016/7,TR1,1.4,4
50201180,INF08104,2016/7,TR1,1.5,5
50201180,INF08104,2016/7,TR1,1.6,4
50201180,INF08104,2016/7,TR1,1.7,5
50201180,INF08104,2016/7,TR1,1.8,5
50201180,INF08104,2016/7,TR1,1.9,2
50201180,INF08104,2016/7,TR1,2.1,2
50201180,INF08104,2016/7,TR1,2.2,5
50201180,INF08104,2016/7,TR1,2.3,2
50201180,INF08104,2016/7,TR1,2.4,5
50201180,INF08104,2016/7,TR1,2.5,5
50201180,INF08104,2016/7,TR1,3.1,5
50201180,INF08104,2016/7,TR1,3.2,2
50201180,INF08104,2016/7,TR1,3.3,4
50201180,INF08104,2016/7,TR1,3.4,5
50201180,INF08104,2016/7,TR1,4.1,5
50201180,SET08108,2016/7,TR1,1.1,2
50201180,SET08108,2016/7,TR1,1.2,5
50201180,SET08108,2016/7,TR1,1.3,5
50201180,SET08108,2016/7,TR1,1.4,5
50201180,SET08108,2016/7,TR1,1.5,5
50201180,SET08108,2016/7,TR1,1.6,5
50201180,SET08108,2016/7,TR1,1.7,5
50201180,SET08108,2016/7,TR1,1.8,5
50201180,SET08108,2016/7,TR1,1.9,5
50201180,SET08108,2016/7,TR1,2.1,4
50201180,SET08108,2016/7,TR1,2.2,5
50201180,SET08108,2016/7,TR1,2.3,5
50201180,SET08108,2016/7,TR1,2.4,5
50201180,SET08108,2016/7,TR1,2.5,5
50201180,SET08108,2016/7,TR1,3.1,5
50201180,SET08108,2016/7,TR1,3.2,5
50201180,SET08108,2016/7,TR1,3.3,2
50201180,SET08108,2016/7,TR1,3.4,5
50201180,SET08108,2016/7,TR1,4.1,5
50201326,IMD09104,2016/7,TR1,1.1,4
50201326,IMD09104,2016/7,TR1,1.2,5
50201326,IMD09104,2016/7,TR1,1.3,5
50201326,IMD09104,2016/7,TR1,1.4,4
50201326,IMD09104,2016/7,TR1,1.5,5
50201326,IMD09104,2016/7,TR1,1.6,5
50201326,IMD09104,2016/7,TR1,1.7,2
50201326,IMD09104,2016/7,TR1,1.8,4
50201326,IMD09104,2016/7,TR1,1.9,5
50201326,IMD09104,2016/7,TR1,2.1,4
50201326,IMD09104,2016/7,TR1,2.2,2
50201326,IMD09104,2016/7,TR1,2.3,4
50201326,IMD09104,2016/7,TR1,2.4,5
50201326,IMD09104,2016/7,TR1,2.5,2
50201326,IMD09104,2016/7,TR1,3.1,5
50201326,IMD09104,2016/7,TR1,3.2,2
50201326,IMD09104,2016/7,TR1,3.3,5
50201326,IMD09104,2016/7,TR1,3.4,5
50201326,IMD09104,2016/7,TR1,4.1,5
50201326,INF09114,2016/7,TR1,1.1,5
50201326,INF09114,2016/7,TR1,1.2,5
50201326,INF09114,2016/7,TR1,1.3,4
50201326,INF09114,2016/7,TR1,1.4,4
50201326,INF09114,2016/7,TR1,1.5,4
50201326,INF09114,2016/7,TR1,1.6,5
50201326,INF09114,2016/7,TR1,1.7,2
50201326,INF09114,2016/7,TR1,1.8,5
50201326,INF09114,2016/7,TR1,1.9,5
50201326,INF09114,2016/7,TR1,2.1,5
50201326,INF09114,2016/7,TR1,2.2,4
50201326,INF09114,2016/7,TR1,2.3,5
50201326,INF09114,2016/7,TR1,2.4,4
50201326,INF09114,2016/7,TR1,2.5,4
50201326,INF09114,2016/7,TR1,3.1,5
50201326,INF09114,2016/7,TR1,3.2,5
50201326,INF09114,2016/7,TR1,3.3,5
50201326,INF09114,2016/7,TR1,3.4,5
50201326,INF09114,2016/7,TR1,4.1,2
50201326,SET09103,2016/7,TR1,1.1,5
50201326,SET09103,2016/7,TR1,1.2,4
50201326,SET09103,2016/7,TR1,1.3,5
50201326,SET09103,2016/7,TR1,1.4,5
50201326,SET09103,2016/7,TR1,1.5,5
50201326,SET09103,2016/7,TR1,1.6,4
50201326,SET09103,2016/7,TR1,1.7,5
50201326,SET09103,2016/7,TR1,1.8,5
50201326,SET09103,2016/7,TR1,1.9,5
50201326,SET09103,2016/7,TR1,2.1,5
50201326,SET09103,2016/7,TR1,2.2,2
50201326,SET09103,2016/7,TR1,2.3,4
50201326,SET09103,2016/7,TR1,2.4,5
50201326,SET09103,2016/7,TR1,2.5,4
50201326,SET09103,2016/7,TR1,3.1,5
50201326,SET09103,2016/7,TR1,3.2,5
50201326,SET09103,2016/7,TR1,3.3,5
50201326,SET09103,2016/7,TR1,3.4,5
