ProductModelID,Name,CatalogDescription
1,Classic Vest,NULL
2,Cycling Cap,NULL
3,Full-Finger Gloves,NULL
4,Half-Finger Gloves,NULL
5,HL Mountain Frame,NULL
6,HL Road Frame,NULL
7,HL Touring Frame,NULL
8,LL Mountain Frame,NULL
9,LL Road Frame,NULL
10,LL Touring Frame,NULL
11,Long-Sleeve Logo Jersey,NULL
12,Men's Bib-Shorts,NULL
13,Men's Sports Shorts,NULL
14,ML Mountain Frame,NULL
15,ML Mountain Frame-W,NULL
16,ML Road Frame,NULL
17,ML Road Frame-W,NULL
18,Mountain Bike Socks,NULL
19,Mountain-100,NULL
20,Mountain-200,NULL
21,Mountain-300,NULL
22,Mountain-400-W,NULL
23,Mountain-500,NULL
24,Racing Socks,NULL
25,Road-150,NULL
26,Road-250,NULL
27,Road-350-W,NULL
28,Road-450,NULL
29,Road-550-W,NULL
30,Road-650,NULL
31,Road-750,NULL
32,Short-Sleeve Classic Jersey,NULL
33,Sport-100,NULL
34,Touring-1000,NULL
35,Touring-2000,NULL
36,Touring-3000,NULL
37,Women's Mountain Shorts,NULL
38,Women's Tights,NULL
39,Mountain-400,NULL
40,Road-550,NULL
41,Road-350,NULL
42,LL Mountain Front Wheel,NULL
43,Touring Rear Wheel,NULL
44,Touring Front Wheel,NULL
45,ML Mountain Front Wheel,NULL
46,HL Mountain Front Wheel,NULL
47,LL Touring Handlebars,NULL
48,HL Touring Handlebars,NULL
49,LL Road Front Wheel,NULL
50,ML Road Front Wheel,NULL
51,HL Road Front Wheel,NULL
52,LL Mountain Handlebars,NULL
53,Touring Pedal,NULL
54,ML Mountain Handlebars,NULL
55,HL Mountain Handlebars,NULL
56,LL Road Handlebars,NULL
57,ML Road Handlebars,NULL
58,HL Road Handlebars,NULL
59,LL Headset,NULL
60,ML Headset,NULL
61,HL Headset,NULL
62,LL Mountain Pedal,NULL
63,ML Mountain Pedal,NULL
64,HL Mountain Pedal,NULL
65,ML Touring Seat/Saddle,NULL
66,LL Touring Seat/Saddle,NULL
67,HL Touring Seat/Saddle,NULL
68,LL Road Pedal,NULL
69,ML Road Pedal,NULL
70,HL Road Pedal,NULL
71,LL Mountain Seat/Saddle 1,NULL
72,ML Mountain Seat/Saddle 1,NULL
73,HL Mountain Seat/Saddle 1,NULL
74,LL Road Seat/Saddle 2,NULL
75,ML Road Seat/Saddle 1,NULL
76,HL Road Seat/Saddle 1,NULL
77,ML Road Rear Wheel,NULL
78,HL Road Rear Wheel,NULL
79,LL Mountain Seat/Saddle 2,NULL
80,ML Mountain Seat/Saddle 2,NULL
81,HL Mountain Seat/Saddle 2,NULL
82,LL Road Seat/Saddle 1,NULL
83,ML Road Seat/Saddle 2,NULL
84,HL Road Seat/Saddle 2,NULL
85,LL Mountain Tire,NULL
86,ML Mountain Tire,NULL
87,HL Mountain Tire,NULL
88,LL Road Tire,NULL
89,ML Road Tire,NULL
90,HL Road Tire,NULL
91,Touring Tire,NULL
92,Mountain Tire Tube,NULL
93,Road Tire Tube,NULL
94,Touring Tire Tube,NULL
95,LL Bottom Bracket,NULL
96,ML Bottom Bracket,NULL
97,HL Bottom Bracket,NULL
98,Chain,NULL
99,LL Crankset,NULL
100,ML Crankset,NULL
101,HL Crankset,NULL
102,Front Brakes,NULL
103,Front Derailleur,NULL
104,LL Fork,NULL
105,ML Fork,NULL
106,HL Fork,NULL
107,Hydration Pack,NULL
108,Taillight,NULL
109,Headlights - Dual-Beam,NULL
110,Headlights - Weatherproof,NULL
111,Water Bottle,NULL
112,Mountain Bottle Cage,NULL
113,Road Bottle Cage,NULL
114,Patch kit,NULL
115,Cable Lock,NULL
116,Minipump,NULL
117,Mountain Pump,NULL
118,Hitch Rack - 4-Bike,NULL
119,Bike Wash,NULL
120,Touring-Panniers,NULL
121,Fender Set - Mountain,NULL
122,All-Purpose Bike Stand,NULL
123,LL Mountain Rear Wheel,NULL
124,ML Mountain Rear Wheel,NULL
125,HL Mountain Rear Wheel,NULL
126,LL Road Rear Wheel,NULL
127,Rear Derailleur,NULL
128,Rear Brakes,NULL
