ukprn,institution,subject,level,question,A_STRONGLY_DISAGREE,A_DISAGREE,A_NEUTRAL,A_AGREE,A_STRONGLY_AGREE,A_NA,CI_MIN,score,CI_MAX,response,sample,aggregate
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q01,4,4,13,48,30,0,56,78,91,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q02,4,17,9,52,17,0,47,70,85,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q03,4,13,4,48,30,0,56,78,91,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q04,13,9,4,48,26,0,51,74,88,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q05,14,14,5,18,50,1,45,68,85,22,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q06,4,13,13,35,35,0,47,70,85,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q07,22,17,17,35,9,0,24,43,65,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q08,0,13,9,48,30,0,56,78,91,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q09,4,26,9,39,22,0,39,61,79,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q10,9,17,17,39,17,0,35,57,76,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q11,4,13,13,39,30,0,47,70,85,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q12,4,22,30,22,22,0,24,43,65,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q13,0,22,9,35,35,0,47,70,85,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q14,13,0,13,52,22,0,51,74,88,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q15,17,22,13,35,13,0,28,48,69,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q16,0,29,19,38,14,2,31,52,73,21,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q17,0,18,14,45,23,1,45,68,85,22,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q18,5,11,21,47,16,4,39,63,82,19,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q19,0,13,17,39,30,0,47,70,85,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q20,0,4,26,48,22,0,47,70,85,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q21,0,9,30,52,9,0,39,61,79,23,38,Y
10000055,Abingdon and Witney College,(5) Agriculture and related subjects,Other undergraduate,Q22,4,35,4,39,17,0,35,57,76,23,38,Y
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q01,4,0,4,67,26,0,74,93,98,27,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q02,0,0,11,52,37,0,70,89,97,27,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q03,0,4,7,41,48,0,70,89,97,27,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q04,4,0,0,30,67,0,79,96,99,27,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q05,0,0,11,33,56,0,70,89,97,27,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q06,0,0,4,56,41,0,79,96,99,27,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q07,0,15,15,30,41,0,49,70,85,27,39,NULL
10000055,Abingdon and Witney College,(I) Education,Other undergraduate,Q08,0,4,0,37,59,0,79,96,99,27,39,NULL
