id,name
1,Aberlady
2,Abington
3,Amisfield Park
4,Ancrum
5,Armadale
6,ASDA
7,ASDA/Brunstane
8,Auchendinny
9,Baberton
10,Balerno
11,Balerno Church
12,Ballingry
13,Barnton
14,Bathgate
15,Bellevue
16,Berwick upon Tweed
17,Biggar
18,Bilston
19,Bingham
20,Blackburn
21,Blackford
22,Blackhall
23,Blackridge
24,Bonaly Avenue
25,Bo’ness
26,Bonnington
27,Bonnyrigg
28,Boswall
29,Bridges
30,Bristo
31,Broomhouse
32,Broxburn
33,Brunstane
34,Brunstane/ASDA
35,Bush Estate
36,Cameron Toll
37,Canonmills
38,Captains Road
39,Charlotte Square
40,Charlotte Street
41,City Hospital
42,Clermiston
43,Clerwood
44,Clovenstone
45,Cockburn Crescent
46,Colinton
47,Comely Bank
48,Corstorphine
49,Cowdenbeath
50,Craigentinny
51,Craighouse Campus
52,Craigleith
53,Craiglockhart
54,Craigmillar
55,Craigour
56,Craigs Road
57,Cramond
59,Crewe Toll
60,Currie
61,Dalgety Bay
62,Dalkeith
63,Dalmahoy
64,Dalmeny
65,Danderhall
66,Davidsons Mains
67,Deanburn
68,Deans Road/Royston Roundabout
69,Deans South
70,Drylaw
71,Duddingston
72,Dumbiedykes
73,Dumfries
74,Dunbar
75,Dunfermline
76,Earlston
77,East Calder
78,East Craigs
79,East Linton
80,Easter Road
81,Eastern General Hospital
82,Eastfield
83,Edinburgh Airport
84,Eskbank
85,Fairmilehead
86,Fala
87,Falkirk
88,Fauldhouse
89,Ferniehill
90,Ferry Road
91,Forth Bridge
92,Fountainbridge
93,Galashiels
94,George IV Bridge
95,George Street
96,Gilmerton
97,Gilmerton Bridges
98,Gogar Station
99,Goldenacre
100,Gorebridge
101,Gorgie
102,Gracemount
103,Grange
104,Grangemouth
105,Granton
106,Granton Square
107,Grassmarket
108,Greendykes
109,Gyle
110,Haddington
111,Hailes
112,Hanover Street
113,Harthill
114,Hawick
115,Haymarket
116,High Street
117,Hillend
119,Humbie
120,Hunters Tryst
121,Hyvots Bank
122,Inglis Green Road
123,Innerleithen
124,Inverkeithing
125,Jedburgh
126,Kelso
127,Kelty
128,Kingsknowe
129,Kinnaird Park
130,Kirkliston
131,Kirknewton
132,Knightsridge
133,Lady Neurone
134,Ladywood
135,Lasswade
136,Lauder
137,Leith
139,Leith (Commercial Street)
140,Leith Docks
141,Leith Walk
142,Liberton
143,Linlithgow
144,Linlithgow Cross
145,Livingstone
146,Loanhead
147,Lochend
148,Lochend (Findlay Gardens)
149,London Road
150,London Street
151,Longniddry
152,Longstone
153,Marchmont
154,Mayfield
155,Meadowfield Drive
156,Melrose
157,Mid Calder
158,Milton Road
159,Moantcastle
160,Morningside
161,Mountcastle
162,Muirhouse
163,Musselburgh
164,Myreside
165,Newbridge
166,Newcraighall
167,Newhaven
168,Newhaven Road
169,Newington
170,Newton Grange
171,Newtongrange
172,Newtongrange Mayfield
173,Niddrie
174,North Berwick
175,North Bridge
176,North Road
177,Northfield
178,Orchard Brae
179,Oxgangs
180,Parkhead
181,Pathhead
182,Peebles
183,Pencaitland
184,Penicuik
185,Philipstoun
186,Pilrig -Princes Street
187,Pinkie
188,Polmont
189,Polton Mill
190,Port Seton
191,Portobello
192,Prestonfield
193,Prestonpans
194,Princes Street
195,Pumpherston
196,Queensferry Road
197,Ratho
198,Ravelston
199,Regent Road
200,Restalrig
201,Riccarton Campus
202,Rosewell
203,Roslin
204,Rosyth
205,Royal Mile
206,Royston
207,Saughton
208,Scotstoun
209,Seafield
210,Seafield Garage
211,Selkirk
212,Seton Sands
213,Sighthill
215,Silverknowes
216,Slateford
217,South Gyle
218,South Queensferry
219,St Andrew Square
220,St Boswells
221,St John’s Hospital
222,St Leonards
223,Stenhouse
224,Stirling
225,Stockbridge
226,Stoneybank
227,Stow
228,Straiton Road Sainsbury
229,Thornhill
230,Tollcross
231,Torphin
232,Trances
233,Tranent
234,Trinity
235,Turnhouse
236,Uphall
237,Wallyford
238,Wallyford
239,Wardie
240,Waverley Bridge
241,West Linton
242,West Mains
243,Westburn
244,Wester Hailes
245,Wester Hailes Centre
246,Whitburn
247,Whitecraig
248,Wilkieston
249,Willowbrae
250,Winchburgh
